sensor,lag,correlation
vibration,0,-0.9203230491302425
vibration,1,0.2235407700228055
vibration,2,-0.09780844518030808
vibration,3,-0.05709986601227552
vibration,4,0.1880167510772359
vibration,5,-0.9159969221886037
vibration,6,0.22339893915435488
vibration,7,-0.09784487735925768
vibration,8,-0.0569298216544199
vibration,9,0.18809010965394427
vibration,10,-0.9124292030736615
vibration,11,0.22325908999212682
vibration,12,-0.09797979769506461
vibration,13,-0.056836007936478465
vibration,14,0.18817919186198698
vibration,15,-0.9090617573384258
vibration,16,0.22316489830108605
vibration,17,-0.09811563044893604
vibration,18,-0.05670758469609204
vibration,19,0.18754558553225995
vibration,20,-0.9055339705792703
vibration,21,0.22299485967007612
vibration,22,-0.09821698063193786
vibration,23,-0.056467769032167575
vibration,24,0.18771747822571683
vibration,25,-0.9021456998324803
vibration,26,0.22282386421332676
vibration,27,-0.09833138263799014
vibration,28,-0.056384050361932864
vibration,29,0.18778484572925078
current,0,-0.45297434785478013
current,1,0.09820037640307008
current,2,-0.0004252622543578432
current,3,-0.09774137310370778
current,4,0.04145922044882286
current,5,-0.4515996476985883
current,6,0.09896626664248172
current,7,0.000588018577944957
current,8,-0.09665735116199736
current,9,0.04218376093538964
current,10,-0.450475186435135
current,11,0.09973533008232924
current,12,0.0015622012419484546
current,13,-0.0955509043468988
current,14,0.04292615234689505
current,15,-0.44923416517703213
current,16,0.10053418775859582
current,17,0.0025173319459228863
current,18,-0.09447057956216845
current,19,0.04366178263502921
current,20,-0.44785421340966575
current,21,0.10131363657388114
current,22,0.0034959008527674636
current,23,-0.09335642862838486
current,24,0.04441568545823766
current,25,-0.44636941287755366
current,26,0.10214455421795153
current,27,0.004490211065130219
current,28,-0.09225938872139756
current,29,0.045175462993405156
temperature,0,-0.7144860035019927
temperature,1,0.17678300763986582
temperature,2,-0.010217033511458754
temperature,3,-0.06539620162992164
temperature,4,0.18624464932778312
temperature,5,-0.7138291821001227
temperature,6,0.17701620656538264
temperature,7,-0.009558203477266661
temperature,8,-0.06453622651789982
temperature,9,0.1868285348161832
temperature,10,-0.7130289978897117
temperature,11,0.17734053879599648
temperature,12,-0.00910882268021512
temperature,13,-0.06360056324434248
temperature,14,0.18723097977750924
temperature,15,-0.7118479058791597
temperature,16,0.17774570096012748
temperature,17,-0.008382440367079361
temperature,18,-0.06285747400895658
temperature,19,0.18747143847949402
temperature,20,-0.7106215376194398
temperature,21,0.1778468372671853
temperature,22,-0.008042888204766722
temperature,23,-0.061896389008369086
temperature,24,0.1875779742457677
temperature,25,-0.7096473779086044
temperature,26,0.17835749698748013
temperature,27,-0.007051656617816395
temperature,28,-0.06111365369082224
temperature,29,0.1878737158730872
